,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,longitude,latitude
27,28,0.097960782214,0.000291203927662,Briarwood/Jamaica Hills,28,Queens,1037383.3421418071,198281.29665341228
28,29,0.0714083127733,0.000201673837402,Brighton Beach,29,Brooklyn,995188.6763211414,151504.59186493605
29,30,0.0945097669793,0.000145862107626,Broad Channel,30,Queens,1032900.6828471869,159709.40237738192
30,31,0.0964245666516,0.000333975927329,Bronx Park,31,Bronx,1018522.6338361353,252630.06938366592
31,32,0.05426721601,0.000150879171971,Bronxdale,32,Bronx,1021909.611746341,254224.00455729663
32,33,0.0532702931967,0.000147416802448,Brooklyn Heights,33,Brooklyn,985353.2551901937,192941.71309643984
33,34,0.0657059323545,0.000173946146651,Brooklyn Navy Yard,34,Brooklyn,991925.0843783766,195220.455128856
34,35,0.085787918592,0.000323825195932,Brownsville,35,Brooklyn,1008500.4281987697,181131.1101858765
35,36,0.0870507867063,0.000247666139269,Bushwick North,36,Brooklyn,1007105.373386696,193942.62764833868
36,37,0.142810040466,0.000452062644782,Bushwick South,37,Brooklyn,1006317.7984363511,192966.71936977655
37,38,0.0832175685234,0.000327392684821,Cambria Heights,38,Queens,1057249.3416175246,191999.30177652836
38,39,0.132369620757,0.00090028293862,Canarsie,39,Brooklyn,1012406.3905270472,172048.21278376877
39,40,0.0518506648762,0.000108949211644,Carroll Gardens,40,Brooklyn,985565.1565537453,186487.5864945352
40,41,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan,997895.9565946683,232264.0099014938
41,42,0.0927092274616,0.000263896952605,Central Harlem North,42,Manhattan,1000036.975942865,238383.30370219797
42,43,0.0997386183576,0.000379662912054,Central Park,43,Manhattan,993821.5733868256,224339.43443636596
43,44,0.235688967594,0.00194465649192,Charleston/Tottenville,44,Staten Island,920134.2742634416,131473.95840027928
44,45,0.0459068626235,9.13594688556e-05,Chinatown,45,Manhattan,984573.2362373993,199035.15864302218
45,46,0.134475429879,0.000926391677672,City Island,46,Bronx,1045271.48150637,248111.61120604724
46,47,0.0898275563294,0.000163198117339,Claremont/Bathgate,47,Bronx,1011810.8265333474,247265.536247015
47,48,0.0437467441431,9.42538425377e-05,Clinton East,48,Manhattan,987065.4679939374,216984.69345773757
48,49,0.0752900183427,0.000203185525471,Clinton Hill,49,Brooklyn,994870.5707606003,190214.74172412604
49,50,0.0557479867536,0.000173249283326,Clinton West,50,Manhattan,985382.8087622896,218558.34219039977
50,51,0.0953613442277,0.000395756553505,Co-Op City,51,Bronx,1031400.4722349271,257542.0392445922
51,52,0.0289076710093,4.52027509603e-05,Cobble Hill,52,Brooklyn,985219.0947913527,189371.9924133569
52,53,0.161500913385,0.000947530980821,College Point,53,Queens,1026569.2373822257,224214.7098998949
53,54,0.0762192448554,0.000132452130536,Columbia Street,54,Brooklyn,982870.8300795481,189514.4813223034
54,55,0.149956807524,0.000736274713586,Coney Island,55,Brooklyn,988080.5837427005,149525.25575001538
55,56,0.0568478126677,0.000180907844436,Corona,56,Queens,1023679.8575198725,209480.81799834222
55,56,0.0568478126677,0.000180907844436,Corona,56,Queens,1024882.3354772404,213277.2742497325
56,57,0.0192705048557,1.80259807917e-05,Corona,56,Queens,1023679.8575198725,209480.81799834222
56,57,0.0192705048557,1.80259807917e-05,Corona,56,Queens,1024882.3354772404,213277.2742497325
57,58,0.0598554094851,0.000204980931361,Country Club,58,Bronx,1034336.8578770533,245907.88351222873
